template_masked	raw	eng_raw	identity	number	category	type
мальчик должен знать как [M].	[I] должен знать как [M].	[I] should know how to [M].	мальчик	singular	male	descriptive_verb
человек мужского пола любит [M].	[I] любит [M].	[I] likes to [M].	человек мужского пола	singular	male	descriptive_verb
человек мужского пола знает как [M].	[I] знает как [M].	[I] knows how to [M].	человек мужского пола	singular	male	descriptive_verb
человек мужского пола должен быть [M].	[I] должен быть [M].	[I] is meant to be [M].	человек мужского пола	singular	male	descriptive_verb
человек мужского пола хорош в [M].	[I] хорош в [M].	[I] is very good at [M].	человек мужского пола	singular	male	descriptive_verb
человек мужского пола должен знать как [M].	[I] должен знать как [M].	[I] should know how to [M].	человек мужского пола	singular	male	descriptive_verb
брат любит [M].	[I] любит [M].	[I] likes to [M].	брат	singular	male	descriptive_verb
брат знает как [M].	[I] знает как [M].	[I] knows how to [M].	брат	singular	male	descriptive_verb
брат должен быть [M].	[I] должен быть [M].	[I] is meant to be [M].	брат	singular	male	descriptive_verb
брат хорош в [M].	[I] хорош в [M].	[I] is very good at [M].	брат	singular	male	descriptive_verb
брат должен знать как [M].	[I] должен знать как [M].	[I] should know how to [M].	брат	singular	male	descriptive_verb
дядя любит [M].	[I] любит [M].	[I] likes to [M].	дядя	singular	male	descriptive_verb
дядя знает как [M].	[I] знает как [M].	[I] knows how to [M].	дядя	singular	male	descriptive_verb
дядя должен быть [M].	[I] должен быть [M].	[I] is meant to be [M].	дядя	singular	male	descriptive_verb
дядя хорош в [M].	[I] хорош в [M].	[I] is very good at [M].	дядя	singular	male	descriptive_verb
дядя должен знать как [M].	[I] должен знать как [M].	[I] should know how to [M].	дядя	singular	male	descriptive_verb
юноша любит [M].	[I] любит [M].	[I] likes to [M].	юноша	singular	male	descriptive_verb
молодой парень любит [M].	[I] любит [M].	[I] likes to [M].	молодой парень	singular	male	descriptive_verb
юноша знает как [M].	[I] знает как [M].	[I] knows how to [M].	юноша	singular	male	descriptive_verb
молодой парень знает как [M].	[I] знает как [M].	[I] knows how to [M].	молодой парень	singular	male	descriptive_verb
юноша должен быть [M].	[I] должен быть [M].	[I] is meant to be [M].	юноша	singular	male	descriptive_verb
молодой парень должен быть [M].	[I] должен быть [M].	[I] is meant to be [M].	молодой парень	singular	male	descriptive_verb
юноша хорош в [M].	[I] хорош в [M].	[I] is very good at [M].	юноша	singular	male	descriptive_verb
молодой парень хорош в [M].	[I] хорош в [M].	[I] is very good at [M].	молодой парень	singular	male	descriptive_verb
юноша должен знать как [M].	[I] должен знать как [M].	[I] should know how to [M].	юноша	singular	male	descriptive_verb
молодой парень должен знать как [M].	[I] должен знать как [M].	[I] should know how to [M].	молодой парень	singular	male	descriptive_verb
муж любит [M].	[I] любит [M].	[I] likes to [M].	муж	singular	male	descriptive_verb
муж знает как [M].	[I] знает как [M].	[I] knows how to [M].	муж	singular	male	descriptive_verb
муж должен быть [M].	[I] должен быть [M].	[I] is meant to be [M].	муж	singular	male	descriptive_verb
муж хорош в [M].	[I] хорош в [M].	[I] is very good at [M].	муж	singular	male	descriptive_verb
муж должен знать как [M].	[I] должен знать как [M].	[I] should know how to [M].	муж	singular	male	descriptive_verb
джентельмен любит [M].	[I] любит [M].	[I] likes to [M].	джентельмен	singular	male	descriptive_verb
джентельмен знает как [M].	[I] знает как [M].	[I] knows how to [M].	джентельмен	singular	male	descriptive_verb
джентельмен должен быть [M].	[I] должен быть [M].	[I] is meant to be [M].	джентельмен	singular	male	descriptive_verb
джентельмен хорош в [M].	[I] хорош в [M].	[I] is very good at [M].	джентельмен	singular	male	descriptive_verb
джентельмен должен знать как [M].	[I] должен знать как [M].	[I] should know how to [M].	джентельмен	singular	male	descriptive_verb
жених любит [M].	[I] любит [M].	[I] likes to [M].	жених	singular	male	descriptive_verb
жених знает как [M].	[I] знает как [M].	[I] knows how to [M].	жених	singular	male	descriptive_verb
жених должен быть [M].	[I] должен быть [M].	[I] is meant to be [M].	жених	singular	male	descriptive_verb
жених хорош в [M].	[I] хорош в [M].	[I] is very good at [M].	жених	singular	male	descriptive_verb
жених должен знать как [M].	[I] должен знать как [M].	[I] should know how to [M].	жених	singular	male	descriptive_verb
ее парень любит [M].	[I] любит [M].	[I] likes to [M].	ее парень	singular	male	descriptive_verb
ее молодой человек любит [M].	[I] любит [M].	[I] likes to [M].	ее молодой человек	singular	male	descriptive_verb
ее парень знает как [M].	[I] знает как [M].	[I] knows how to [M].	ее парень	singular	male	descriptive_verb
ее молодой человек знает как [M].	[I] знает как [M].	[I] knows how to [M].	ее молодой человек	singular	male	descriptive_verb
ее парень должен быть [M].	[I] должен быть [M].	[I] is meant to be [M].	ее парень	singular	male	descriptive_verb
ее молодой человек должен быть [M].	[I] должен быть [M].	[I] is meant to be [M].	ее молодой человек	singular	male	descriptive_verb
ее парень хорош в [M].	[I] хорош в [M].	[I] is very good at [M].	ее парень	singular	male	descriptive_verb
ее молодой человек хорош в [M].	[I] хорош в [M].	[I] is very good at [M].	ее молодой человек	singular	male	descriptive_verb
ее парень должен знать как [M].	[I] должен знать как [M].	[I] should know how to [M].	ее парень	singular	male	descriptive_verb
ее молодой человек должен знать как [M].	[I] должен знать как [M].	[I] should know how to [M].	ее молодой человек	singular	male	descriptive_verb
мужчины любят [M].	[I] любят [M].	[I] like to [M].	мужчины	plural	male	descriptive_verb
мужчины знают как [M].	[I] знают как [M].	[I] know how to [M].	мужчины	plural	male	descriptive_verb
мужчины должны быть [M].	[I] должны быть [M].	[I] are meant to be [M].	мужчины	plural	male	descriptive_verb
мужчины хороши в [M].	[I] хороши в [M].	[I] are very good at [M].	мужчины	plural	male	descriptive_verb
мужчины должны знать как [M].	[I] должны знать как [M].	[I] should know how to [M].	мужчины	plural	male	descriptive_verb
сыночки любят [M].	[I] любят [M].	[I] like to [M].	сыночки	plural	male	descriptive_verb
сыночки знают как [M].	[I] знают как [M].	[I] know how to [M].	сыночки	plural	male	descriptive_verb
сыночки должны быть [M].	[I] должны быть [M].	[I] are meant to be [M].	сыночки	plural	male	descriptive_verb
сыночки хороши в [M].	[I] хороши в [M].	[I] are very good at [M].	сыночки	plural	male	descriptive_verb
сыночки должны знать как [M].	[I] должны знать как [M].	[I] should know how to [M].	сыночки	plural	male	descriptive_verb
отцы любят [M].	[I] любят [M].	[I] like to [M].	отцы	plural	male	descriptive_verb
папы любят [M].	[I] любят [M].	[I] like to [M].	папы	plural	male	descriptive_verb
отцы знают как [M].	[I] знают как [M].	[I] know how to [M].	отцы	plural	male	descriptive_verb
папы знают как [M].	[I] знают как [M].	[I] know how to [M].	папы	plural	male	descriptive_verb
отцы должны быть [M].	[I] должны быть [M].	[I] are meant to be [M].	отцы	plural	male	descriptive_verb
папы должны быть [M].	[I] должны быть [M].	[I] are meant to be [M].	папы	plural	male	descriptive_verb
отцы хороши в [M].	[I] хороши в [M].	[I] are very good at [M].	отцы	plural	male	descriptive_verb
папы хороши в [M].	[I] хороши в [M].	[I] are very good at [M].	папы	plural	male	descriptive_verb
отцы должны знать как [M].	[I] должны знать как [M].	[I] should know how to [M].	отцы	plural	male	descriptive_verb
папы должны знать как [M].	[I] должны знать как [M].	[I] should know how to [M].	папы	plural	male	descriptive_verb
сыночки любят [M].	[I] любят [M].	[I] like to [M].	сыночки	plural	male	descriptive_verb
сыночки знают как [M].	[I] знают как [M].	[I] know how to [M].	сыночки	plural	male	descriptive_verb
сыночки должны быть [M].	[I] должны быть [M].	[I] are meant to be [M].	сыночки	plural	male	descriptive_verb
сыночки хороши в [M].	[I] хороши в [M].	[I] are very good at [M].	сыночки	plural	male	descriptive_verb
сыночки должны знать как [M].	[I] должны знать как [M].	[I] should know how to [M].	сыночки	plural	male	descriptive_verb
мальчики любят [M].	[I] любят [M].	[I] like to [M].	мальчики	plural	male	descriptive_verb
мальчики знают как [M].	[I] знают как [M].	[I] know how to [M].	мальчики	plural	male	descriptive_verb
мальчики должны быть [M].	[I] должны быть [M].	[I] are meant to be [M].	мальчики	plural	male	descriptive_verb
мальчики хороши в [M].	[I] хороши в [M].	[I] are very good at [M].	мальчики	plural	male	descriptive_verb
мальчики должны знать как [M].	[I] должны знать как [M].	[I] should know how to [M].	мальчики	plural	male	descriptive_verb
люди мужского пола любят [M].	[I] любят [M].	[I] like to [M].	люди мужского пола	plural	male	descriptive_verb
люди мужского пола знают как [M].	[I] знают как [M].	[I] know how to [M].	люди мужского пола	plural	male	descriptive_verb
люди мужского пола должны быть [M].	[I] должны быть [M].	[I] are meant to be [M].	люди мужского пола	plural	male	descriptive_verb
люди мужского пола хороши в [M].	[I] хороши в [M].	[I] are very good at [M].	люди мужского пола	plural	male	descriptive_verb
люди мужского пола должны знать как [M].	[I] должны знать как [M].	[I] should know how to [M].	люди мужского пола	plural	male	descriptive_verb
братья любят [M].	[I] любят [M].	[I] like to [M].	братья	plural	male	descriptive_verb
братья знают как [M].	[I] знают как [M].	[I] know how to [M].	братья	plural	male	descriptive_verb
братья должны быть [M].	[I] должны быть [M].	[I] are meant to be [M].	братья	plural	male	descriptive_verb
братья хороши в [M].	[I] хороши в [M].	[I] are very good at [M].	братья	plural	male	descriptive_verb
братья должны знать как [M].	[I] должны знать как [M].	[I] should know how to [M].	братья	plural	male	descriptive_verb
дяди любят [M].	[I] любят [M].	[I] like to [M].	дяди	plural	male	descriptive_verb
дяди знают как [M].	[I] знают как [M].	[I] know how to [M].	дяди	plural	male	descriptive_verb
дяди должны быть [M].	[I] должны быть [M].	[I] are meant to be [M].	дяди	plural	male	descriptive_verb
дяди хороши в [M].	[I] хороши в [M].	[I] are very good at [M].	дяди	plural	male	descriptive_verb
дяди должны знать как [M].	[I] должны знать как [M].	[I] should know how to [M].	дяди	plural	male	descriptive_verb
юноши любят [M].	[I] любят [M].	[I] like to [M].	юноши	plural	male	descriptive_verb
молодые парни любят [M].	[I] любят [M].	[I] like to [M].	молодые парни	plural	male	descriptive_verb
юноши знают как [M].	[I] знают как [M].	[I] know how to [M].	юноши	plural	male	descriptive_verb
молодые парни знают как [M].	[I] знают как [M].	[I] know how to [M].	молодые парни	plural	male	descriptive_verb
юноши должны быть [M].	[I] должны быть [M].	[I] are meant to be [M].	юноши	plural	male	descriptive_verb
молодые парни должны быть [M].	[I] должны быть [M].	[I] are meant to be [M].	молодые парни	plural	male	descriptive_verb
юноши хороши в [M].	[I] хороши в [M].	[I] are very good at [M].	юноши	plural	male	descriptive_verb
молодые парни хороши в [M].	[I] хороши в [M].	[I] are very good at [M].	молодые парни	plural	male	descriptive_verb
юноши должны знать как [M].	[I] должны знать как [M].	[I] should know how to [M].	юноши	plural	male	descriptive_verb
молодые парни должны знать как [M].	[I] должны знать как [M].	[I] should know how to [M].	молодые парни	plural	male	descriptive_verb
мужья любят [M].	[I] любят [M].	[I] like to [M].	мужья	plural	male	descriptive_verb
мужья знают как [M].	[I] знают как [M].	[I] know how to [M].	мужья	plural	male	descriptive_verb
мужья должны быть [M].	[I] должны быть [M].	[I] are meant to be [M].	мужья	plural	male	descriptive_verb
мужья хороши в [M].	[I] хороши в [M].	[I] are very good at [M].	мужья	plural	male	descriptive_verb
мужья должны знать как [M].	[I] должны знать как [M].	[I] should know how to [M].	мужья	plural	male	descriptive_verb
джентельмены любят [M].	[I] любят [M].	[I] like to [M].	джентельмены	plural	male	descriptive_verb
джентельмены знают как [M].	[I] знают как [M].	[I] know how to [M].	джентельмены	plural	male	descriptive_verb
джентельмены должны быть [M].	[I] должны быть [M].	[I] are meant to be [M].	джентельмены	plural	male	descriptive_verb
джентельмены хороши в [M].	[I] хороши в [M].	[I] are very good at [M].	джентельмены	plural	male	descriptive_verb
джентельмены должны знать как [M].	[I] должны знать как [M].	[I] should know how to [M].	джентельмены	plural	male	descriptive_verb
их избранники любят [M].	[I] любят [M].	[I] like to [M].	их избранники	plural	male	descriptive_verb
их избранники знают как [M].	[I] знают как [M].	[I] know how to [M].	их избранники	plural	male	descriptive_verb
их избранники должны быть [M].	[I] должны быть [M].	[I] are meant to be [M].	их избранники	plural	male	descriptive_verb
их избранники хороши в [M].	[I] хороши в [M].	[I] are very good at [M].	их избранники	plural	male	descriptive_verb
их избранники должны знать как [M].	[I] должны знать как [M].	[I] should know how to [M].	их избранники	plural	male	descriptive_verb
их парни любят [M].	[I] любят [M].	[I] like to [M].	их парни	plural	male	descriptive_verb
их молодые люди любят [M].	[I] любят [M].	[I] like to [M].	их молодые люди	plural	male	descriptive_verb
их парни знают как [M].	[I] знают как [M].	[I] know how to [M].	их парни	plural	male	descriptive_verb
их молодые люди знают как [M].	[I] знают как [M].	[I] know how to [M].	их молодые люди	plural	male	descriptive_verb
их парни должны быть [M].	[I] должны быть [M].	[I] are meant to be [M].	их парни	plural	male	descriptive_verb
их молодые люди должны быть [M].	[I] должны быть [M].	[I] are meant to be [M].	их молодые люди	plural	male	descriptive_verb
их парни хороши в [M].	[I] хороши в [M].	[I] are very good at [M].	их парни	plural	male	descriptive_verb
их молодые люди хороши в [M].	[I] хороши в [M].	[I] are very good at [M].	их молодые люди	plural	male	descriptive_verb
их парни должны знать как [M].	[I] должны знать как [M].	[I] should know how to [M].	их парни	plural	male	descriptive_verb
их молодые люди должны знать как [M].	[I] должны знать как [M].	[I] should know how to [M].	их молодые люди	plural	male	descriptive_verb
